Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
PB.2.553	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.555	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.562	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.57	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.579	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.606	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.631	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.77	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.96	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1051	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1069	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1075	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1076	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1087	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1094	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1111	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1127	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1130	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1209	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.123	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1270	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1302	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1332	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1377	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1410	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1435	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1469	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1564	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.161	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1611	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1617	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1702	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1721	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1726	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1763	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.177	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1789	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.1911	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.192	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2008	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2031	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2044	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2060	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2065	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2116	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2126	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2149	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2171	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2184	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2192	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2194	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2208	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2220	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2235	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.227	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2276	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2277	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2290	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.230	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2328	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2350	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2355	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2356	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2385	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2391	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2395	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.240	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2410	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2416	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2418	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.242	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2423	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2431	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2435	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2448	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2521	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2533	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.254	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2542	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.255	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.256	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2568	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2633	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2658	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2665	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2734	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2745	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.278	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2789	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2806	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2841	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2843	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.285	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2869	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2952	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.298	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.2988	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.3.3009	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
